BEA									
DEPARTEMENT FINANCE ET COMPTABILITE									
									
TABLEAU D'AMORTISSEMENT AAI									
		30/06/2026							
COMPTE N°: 142010  Compte Amort: 148211									
			Valeur		 AmtCumulés	Dotation	Montant Amt	Valeur Net	AGENCE 
Date 	Qté	Désignation	d'Acquisition MRU	Taux	 Fin Exr.2025	Exer. En. C	Fin Exercice 2026	Comptable	
									
									
01/01/2022		Report de solde 31/12/2021	 28 719 434,00   		 23 954 672,13   	 705 427,52   	 24 660 099,64   	 4 059 334,36   	
06/01/22	2	climatiseurs Airwell 18000BTV	 52 000,00   	10%	 20 800,00   	 2 600,00   	 23 400,00   	 28 600,00   	
11/01/22		cabine de guichet automatique	 46 550,00   	10%	 18 620,00   	 2 327,50   	 20 947,50   	 25 602,50   	
21/02/22	2	 Gab infolog9260	 1 129 260,00   	10%	 432 883,00   	 56 463,00   	 489 346,00   	 639 914,00   	
31/03/22		Aménagement noueau siège	 87 204 256,38   	10%	 32 701 596,14   	 4 360 212,82   	 37 061 808,96   	 50 142 447,42   	
11/08/22		Chariot 4 roues+cônes de securité 75 cm	 12 412,00   	10%	 4 137,33   	 620,60   	 4 757,93   	 7 654,07   	
17/08/22		Travaux anciens siège	 37 200,00   	10%	 12 400,00   	 1 860,00   	 14 260,00   	 22 940,00   	
24/10/22		démolition anien bureau	 140 000,00   	10%	 44 333,33   	 7 000,00   	 51 333,33   	 88 666,67   	
09/12/22		Achat de 34 kit de surveillances	 268 725,00   	10%	 81 737,19   	 13 436,25   	 95 173,44   	 173 551,56   	
13/12/22		Grille de protection 	 78 000,00   	10%	 23 725,00   	 3 900,00   	 27 625,00   	 50 375,00   	
16/12/22		Grille de protection 	 16 000,00   	10%	 4 866,67   	 800,00   	 5 666,67   	 10 333,33   	
20/12/22		Fact TCI lot clim fact n°2873	 226 788,66   	10%	 68 036,60   	 11 339,43   	 79 376,03   	 147 412,63   	
31/12/22		Solde au 31/12/2022	 117 930 626,04   		 57 367 807,39   	 5 165 987,12   	 62 533 794,51   	 55 396 831,54   	
									
									
01/01/2023		Report de solde 31/12/2022	 117 930 626,04   		 57 367 807,39   	 5 165 987,12   	 62 533 794,51   	 55 396 831,54   	
09/01/23		RGLT FACT TCI N° 2867 B/22 EUR	 699 114,90   	10%	 208 957,68   	 34 955,75   	 243 913,42   	 455 201,48   	
18/01/23		RGT FACTURE ATLANTIC N°003/23	 13 900,00   	10%	 4 119,81   	 695,00   	 4 814,81   	 9 085,19   	
18/01/23		RGLT DEVIS NOUAKCHOTT INARA N°	 26 000,00   	10%	 7 706,11   	 1 300,00   	 9 006,11   	 16 993,89   	
24/02/23		RGLT FACT ZEINART CONCEPT	 76 600,00   	10%	 21 916,11   	 3 830,00   	 25 746,11   	 50 853,89   	
03/03/23		RGT FACTURE BRICO-NET-SERVICES	 96 924,00   	10%	 27 542,57   	 4 846,20   	 32 388,77   	 64 535,23   	
04/05/23		RGLT FACTURE ORGINAL	 63 200,00   	10%	 16 870,89   	 3 160,00   	 20 030,89   	 43 169,11   	
08/06/23		RGLT FACT SPS SERVICES N°23SPS	 406 000,00   	10%	 104 432,22   	 20 300,00   	 124 732,22   	 281 267,78   	
